"Pasco School District Director, At Large, Position 3",Debi Maxwell,Total,-1,1214
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Total,-1,1340
"Pasco School District Director, At Large, Position 3",Steve Christensen,Total,-1,2041
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 001,1,6
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 001,1,0
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 001,1,3
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 002,2,23
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 002,2,22
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 002,2,26
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 003,3,0
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 003,3,0
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 003,3,0
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 004,4,22
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 004,4,8
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 004,4,13
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 005,5,26
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 005,5,14
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 005,5,13
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 006,6,18
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 006,6,10
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 006,6,19
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 007,7,12
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 007,7,14
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 007,7,14
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 008,8,40
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 008,8,19
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 008,8,43
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 009,9,8
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 009,9,6
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 009,9,9
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 010,10,8
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 010,10,15
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 010,10,15
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 011,11,11
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 011,11,9
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 011,11,13
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 012,12,7
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 012,12,11
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 012,12,13
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 013,13,21
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 013,13,8
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 013,13,20
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 014,14,22
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 014,14,11
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 014,14,5
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 015,15,22
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 015,15,15
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 015,15,29
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 016(*),16,0
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 016(*),16,0
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 016(*),16,0
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 017,17,20
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 017,17,10
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 017,17,14
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 018,18,4
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 018,18,4
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 018,18,7
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 019,19,16
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 019,19,10
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 019,19,13
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 020,20,12
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 020,20,7
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 020,20,11
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 021,21,8
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 021,21,8
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 021,21,10
"Pasco School District Director, At Large, Position 3",Debi Maxwell,Pct 022,22,20
"Pasco School District Director, At Large, Position 3",Brian V. Griffith,Pct 022,22,28
"Pasco School District Director, At Large, Position 3",Steve Christensen,Pct 022,22,52
