"Port of Kahlotus Commissioner, District 3","James Dale Moore","Total","-1","78"
"Port of Kahlotus Commissioner, District 3","James Dale Moore","Pct 095","95","1"
"Port of Kahlotus Commissioner, District 3","James Dale Moore","Pct 096","96","47"
"Port of Kahlotus Commissioner, District 3","James Dale Moore","Pct 097","97","30"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Total","-1","8514"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 001","1","7"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 002","2","145"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 003","3","4"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 004","4","81"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 005","5","87"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 006","6","72"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 007","7","77"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 008","8","124"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 009","9","48"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 010","10","78"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 011","11","55"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 012","12","49"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 013","13","88"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 014","14","57"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 015","15","152"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 016","16","23"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 017","17","58"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 018","18","34"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 019","19","32"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 020","20","29"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 021","21","35"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 022","22","184"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 023","23","192"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 024","24","67"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 025","25","29"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 026","26","68"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 027","27","46"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 028","28","56"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 029","29","67"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 030","30","38"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 031","31","39"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 032","32","340"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 033","33","99"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 034","34","128"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 035","35","143"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 036","36","159"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 037","37","179"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 038","38","122"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 039","39","161"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 040","40","83"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 041","41","91"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 042","42","94"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 043","43","99"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 044","44","94"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 045","45","227"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 046","46","157"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 047","47","12"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 048","48","141"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 049","49","153"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 050","50","174"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 051","51","164"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 052","52","16"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 053","53","111"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 054","54","67"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 055","55","230"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 056","56","96"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 057","57","125"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 058","58","12"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 059","59","221"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 060","60","81"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 061","61","115"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 062","62","215"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 063","63","147"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 064","64","147"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 065","65","23"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 066","66","174"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 067","67","120"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 068","68","5"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 069","69","23"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 070","70","51"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 071","71","79"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 072","72","70"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 073","73","246"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 074","74","109"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 075","75","17"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 076","76","44"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 077","77","25"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 078","78","41"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 079","79","32"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 080","80","87"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 081","81","29"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 082","82","47"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 083","83","37"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 084","84","21"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 085","85","22"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 086","86","39"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 087","87","25"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 088","88","19"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 089","89","65"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 090","90","111"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 091","91","5"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 092","92","73"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 093","93","106"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 094","94","0"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 095","95","24"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 096","96","7"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 098","98","6"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 099","99","17"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 100","100","44"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 101","101","69"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 102","102","54"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 103","103","21"
"Port of Pasco Commissioner, District 1","Vicki Gordon","Pct 104","104","3"
"Kahlotus School District Director, District 2, Position 2","Chance E. Trainer","Total","-1","79"
"Kahlotus School District Director, District 2, Position 2","Chance E. Trainer","Pct 095","95","0"
"Kahlotus School District Director, District 2, Position 2","Chance E. Trainer","Pct 096","96","48"
"Kahlotus School District Director, District 2, Position 2","Chance E. Trainer","Pct 097","97","31"
"Kahlotus School District Director, District 3, Position 3","Kelly Cochrane ","Total","-1","56"
"Kahlotus School District Director, District 3, Position 3","Leonard Van Buren","Total","-1","40"
"Kahlotus School District Director, District 3, Position 3","Kelly Cochrane ","Pct 095(*)","95","0"
"Kahlotus School District Director, District 3, Position 3","Leonard Van Buren","Pct 095(*)","95","0"
"Kahlotus School District Director, District 3, Position 3","Kelly Cochrane ","Pct 096(*)","96","0"
"Kahlotus School District Director, District 3, Position 3","Leonard Van Buren","Pct 096(*)","96","0"
"Kahlotus School District Director, District 3, Position 3","Kelly Cochrane ","Pct 097","97","23"
"Kahlotus School District Director, District 3, Position 3","Leonard Van Buren","Pct 097","97","18"
"Kahlotus School District Director, At Large, Position 4","A . Joseph Roach","Total","-1","73"
"Kahlotus School District Director, At Large, Position 4","A . Joseph Roach","Pct 095","95","0"
"Kahlotus School District Director, At Large, Position 4","A . Joseph Roach","Pct 096","96","43"
"Kahlotus School District Director, At Large, Position 4","A . Joseph Roach","Pct 097","97","30"
"Kahlotus School District Director, At Large, Position 5","Gary W. Jennings","Total","-1","78"
"Kahlotus School District Director, At Large, Position 5","Gary W. Jennings","Pct 095","95","0"
"Kahlotus School District Director, At Large, Position 5","Gary W. Jennings","Pct 096","96","44"
"Kahlotus School District Director, At Large, Position 5","Gary W. Jennings","Pct 097","97","34"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Total","-1","783"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 079","79","37"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 080","80","85"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 081","81","30"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 082","82","51"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 083","83","39"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 084","84","25"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 085","85","24"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 086","86","39"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 088","88","23"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 089","89","70"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 090","90","116"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 091","91","5"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 092","92","78"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 093","93","119"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 094","94","0"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 095","95","28"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 096","96","7"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 098","98","6"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 1, Position 1","Patricia (Patti) Walker","Pct 099","99","1"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Total","-1","795"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 079","79","38"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 080","80","85"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 081","81","30"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 082","82","51"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 083","83","40"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 084","84","24"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 085","85","24"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 086","86","40"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 088","88","20"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 089","89","70"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 090","90","117"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 091","91","5"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 092","92","82"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 093","93","123"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 094","94","0"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 095","95","30"
"SCHOOL DISTRICT 162 - N FRANKLIN Director, District 2, Position 2","Terry A Utecht","Pct 096","96","7"
